site_os_id,race,Percent_Hospital,Percent_Region,Percent_State,outcome
10140,Black,0.90,0.93,0.94,1
10140,FL_Hispanic,1.00,0.92,0.94,1
10140,White,0.96,0.93,0.93,1
10140,Black,1.00,0.96,0.96,2
10140,White,1.00,0.94,0.94,2
10140,Black,0.29,0.32,0.42,3
10140,White,0.57,0.31,0.37,3
10140,Black,0.96,0.97,0.98,4
10140,FL_Hispanic,1.00,0.97,0.97,4
10140,White,0.98,0.97,0.98,4
10140,Black,0.98,0.98,0.98,5
10140,FL_Hispanic,1.00,0.99,0.98,5
10140,White,1.00,0.98,0.97,5
10140,Black,1.00,0.99,0.99,6
10140,FL_Hispanic,1.00,0.98,0.99,6
10140,White,0.98,0.99,0.99,6
10140,Black,1.00,0.95,0.97,7
10140,White,0.92,0.97,0.97,7
10140,Black,0.94,0.96,0.98,8
10140,White,1.00,0.97,0.97,8
10140,Black,1.00,0.99,0.97,9
10140,White,1.00,0.99,0.98,9
10140,Black,0.21,0.22,0.28,10
10140,FL_Hispanic,1.00,0.22,0.36,10
10140,White,0.23,0.34,0.36,10
10140,Black,0.50,0.28,0.46,11
10140,White,0.33,0.39,0.52,11
10400,Black,1.00,0.93,0.94,1
10400,FL_Hispanic,0.91,0.92,0.94,1
10400,White,0.95,0.93,0.93,1
10400,Black,1.00,0.96,0.96,2
10400,White,0.75,0.94,0.94,2
10400,Black,0.33,0.32,0.42,3
10400,White,0.22,0.31,0.37,3
10400,Black,1.00,0.97,0.98,4
10400,FL_Hispanic,1.00,0.97,0.97,4
10400,White,0.98,0.97,0.98,4
10400,Black,1.00,0.98,0.98,5
10400,FL_Hispanic,0.91,0.99,0.98,5
10400,White,0.99,0.98,0.97,5
10400,Black,1.00,0.99,0.99,6
10400,FL_Hispanic,1.00,0.98,0.99,6
10400,White,1.00,0.99,0.99,6
10400,FL_Hispanic,1.00,1.00,0.98,7
10400,White,0.98,0.97,0.97,7
10400,Black,1.00,0.96,0.98,8
10400,FL_Hispanic,1.00,0.96,0.98,8
10400,White,1.00,0.97,0.97,8
10400,Black,1.00,0.99,0.97,9
10400,FL_Hispanic,1.00,1.00,0.97,9
10400,White,1.00,0.99,0.98,9
10400,Black,0.50,0.22,0.28,10
10400,FL_Hispanic,0.55,0.22,0.36,10
10400,White,0.39,0.34,0.36,10
10400,White,0.31,0.39,0.52,11
10401,Black,0.79,0.93,0.94,1
10401,FL_Hispanic,0.93,0.92,0.94,1
10401,White,0.89,0.93,0.93,1
10401,Black,1.00,0.96,0.96,2
10401,FL_Hispanic,1.00,0.94,0.97,2
10401,White,0.83,0.94,0.94,2
10401,Black,0.38,0.32,0.42,3
10401,FL_Hispanic,0.33,0.33,0.43,3
10401,White,0.32,0.31,0.37,3
10401,Black,0.90,0.97,0.98,4
10401,FL_Hispanic,1.00,0.97,0.97,4
10401,White,0.96,0.97,0.98,4
10401,Black,0.96,0.98,0.98,5
10401,FL_Hispanic,0.93,0.99,0.98,5
10401,White,0.97,0.98,0.97,5
10401,Black,1.00,0.99,0.99,6
10401,FL_Hispanic,1.00,0.98,0.99,6
10401,White,1.00,0.99,0.99,6
10401,Black,1.00,0.95,0.97,7
10401,FL_Hispanic,1.00,1.00,0.98,7
10401,White,0.96,0.97,0.97,7
10401,Black,0.85,0.96,0.98,8
10401,FL_Hispanic,1.00,0.96,0.98,8
10401,White,0.96,0.97,0.97,8
10401,Black,1.00,0.99,0.97,9
10401,FL_Hispanic,1.00,1.00,0.97,9
10401,White,1.00,0.99,0.98,9
10401,Black,0.35,0.22,0.28,10
10401,FL_Hispanic,0.21,0.22,0.36,10
10401,White,0.24,0.34,0.36,10
10401,Black,0.67,0.28,0.46,11
10401,White,0.29,0.39,0.52,11
10720,Black,0.98,0.91,0.94,1
10720,FL_Hispanic,1.00,0.96,0.94,1
10720,White,1.00,0.91,0.93,1
10720,Black,1.00,1.00,0.96,2
10720,White,1.00,0.89,0.94,2
10720,Black,0.33,0.45,0.42,3
10720,White,0.25,0.42,0.37,3
10720,Black,0.98,0.99,0.98,4
10720,FL_Hispanic,1.00,1.00,0.97,4
10720,White,1.00,0.98,0.98,4
10720,Black,1.00,0.96,0.98,5
10720,White,1.00,0.95,0.97,5
10720,Black,1.00,0.98,0.99,6
10720,FL_Hispanic,1.00,0.95,0.99,6
10720,White,1.00,0.99,0.99,6
10720,Black,1.00,1.00,0.97,7
10720,White,1.00,0.98,0.97,7
10720,Black,1.00,0.95,0.98,8
10720,FL_Hispanic,1.00,0.94,0.98,8
10720,White,0.99,0.95,0.97,8
10720,Black,1.00,0.96,0.97,9
10720,White,1.00,0.99,0.98,9
10720,Black,0.49,0.32,0.28,10
10720,White,0.57,0.40,0.36,10
10720,White,0.15,0.49,0.52,11
13705,Black,1.00,0.94,0.94,1
13705,FL_Hispanic,1.00,0.93,0.94,1
13705,White,0.95,0.94,0.93,1
13705,Black,1.00,0.98,0.96,2
13705,White,1.00,0.96,0.94,2
13705,Black,0.67,0.47,0.42,3
13705,White,0.60,0.43,0.37,3
13705,Black,1.00,0.97,0.98,4
13705,FL_Hispanic,1.00,0.97,0.97,4
13705,White,0.97,0.98,0.98,4
13705,Black,1.00,0.98,0.98,5
13705,FL_Hispanic,1.00,0.98,0.98,5
13705,White,0.98,0.97,0.97,5
13705,Black,1.00,0.99,0.99,6
13705,FL_Hispanic,1.00,0.99,0.99,6
13705,White,1.00,0.99,0.99,6
13705,Black,1.00,0.98,0.97,7
13705,White,0.83,0.97,0.97,7
13705,Black,1.00,0.99,0.98,8
13705,FL_Hispanic,1.00,0.98,0.98,8
13705,White,1.00,0.98,0.97,8
13705,Black,1.00,0.97,0.97,9
13705,FL_Hispanic,1.00,0.95,0.97,9
13705,White,1.00,0.99,0.98,9
13705,Black,0.62,0.32,0.28,10
13705,FL_Hispanic,0.50,0.43,0.36,10
13705,White,0.47,0.45,0.36,10
13705,Black,0.25,0.54,0.46,11
13705,White,0.50,0.66,0.52,11
13710,Black,0.60,0.94,0.94,1
13710,FL_Hispanic,0.88,0.93,0.94,1
13710,White,0.89,0.94,0.93,1
13710,Black,1.00,0.98,0.96,2
13710,FL_Hispanic,1.00,0.97,0.97,2
13710,Black,0.67,0.47,0.42,3
13710,FL_Hispanic,0.30,0.44,0.43,3
13710,Black,0.71,0.97,0.98,4
13710,FL_Hispanic,0.92,0.97,0.97,4
13710,White,0.89,0.98,0.98,4
13710,Black,1.00,0.98,0.98,5
13710,FL_Hispanic,0.97,0.98,0.98,5
13710,White,0.89,0.97,0.97,5
13710,Black,0.90,0.99,0.99,6
13710,FL_Hispanic,0.99,0.99,0.99,6
13710,White,1.00,0.99,0.99,6
13710,Black,1.00,0.98,0.97,7
13710,FL_Hispanic,1.00,0.97,0.98,7
13710,Black,1.00,0.99,0.98,8
13710,FL_Hispanic,0.98,0.98,0.98,8
13710,White,1.00,0.98,0.97,8
13710,Black,0.80,0.97,0.97,9
13710,FL_Hispanic,0.90,0.95,0.97,9
13710,White,1.00,0.99,0.98,9
13710,Black,0.44,0.32,0.28,10
13710,FL_Hispanic,0.46,0.43,0.36,10
13710,White,0.25,0.45,0.36,10
13710,Black,0.50,0.54,0.46,11
13710,FL_Hispanic,0.17,0.76,0.68,11
13732,Black,0.97,0.94,0.94,1
13732,FL_Hispanic,1.00,0.93,0.94,1
13732,White,0.98,0.94,0.93,1
13732,Black,1.00,0.98,0.96,2
13732,White,0.93,0.96,0.94,2
13732,Black,0.64,0.47,0.42,3
13732,White,0.38,0.43,0.37,3
13732,Black,1.00,0.97,0.98,4
13732,FL_Hispanic,1.00,0.97,0.97,4
13732,White,0.99,0.98,0.98,4
13732,Black,1.00,0.98,0.98,5
13732,FL_Hispanic,1.00,0.98,0.98,5
13732,White,0.99,0.97,0.97,5
13732,Black,0.98,0.99,0.99,6
13732,FL_Hispanic,1.00,0.99,0.99,6
13732,White,1.00,0.99,0.99,6
13732,Black,1.00,0.98,0.97,7
13732,FL_Hispanic,1.00,0.97,0.98,7
13732,White,1.00,0.97,0.97,7
13732,Black,0.99,0.99,0.98,8
13732,FL_Hispanic,1.00,0.98,0.98,8
13732,White,1.00,0.98,0.97,8
13732,Black,1.00,0.97,0.97,9
13732,FL_Hispanic,1.00,0.95,0.97,9
13732,White,1.00,0.99,0.98,9
13732,Black,0.57,0.32,0.28,10
13732,FL_Hispanic,0.71,0.43,0.36,10
13732,White,0.79,0.45,0.36,10
13732,Black,0.61,0.54,0.46,11
13732,White,0.69,0.66,0.52,11
13742,Black,1.00,0.94,0.94,1
13742,FL_Hispanic,1.00,0.93,0.94,1
13742,White,0.95,0.94,0.93,1
13742,White,0.91,0.96,0.94,2
13742,White,0.33,0.43,0.37,3
13742,Black,1.00,0.97,0.98,4
13742,FL_Hispanic,1.00,0.97,0.97,4
13742,White,0.97,0.98,0.98,4
13742,Black,1.00,0.98,0.98,5
13742,FL_Hispanic,1.00,0.98,0.98,5
13742,White,0.99,0.97,0.97,5
13742,FL_Hispanic,1.00,0.99,0.99,6
13742,White,1.00,0.99,0.99,6
13742,FL_Hispanic,1.00,0.97,0.98,7
13742,White,1.00,0.97,0.97,7
13742,FL_Hispanic,1.00,0.98,0.98,8
13742,White,1.00,0.98,0.97,8
13742,FL_Hispanic,1.00,0.95,0.97,9
13742,White,1.00,0.99,0.98,9
13742,FL_Hispanic,0.83,0.43,0.36,10
13742,White,0.59,0.45,0.36,10
13742,White,0.70,0.66,0.52,11
13779,Black,0.96,0.94,0.94,1
13779,FL_Hispanic,0.95,0.93,0.94,1
13779,White,1.00,0.94,0.93,1
13779,Black,0.75,0.98,0.96,2
13779,FL_Hispanic,1.00,0.97,0.97,2
13779,Black,0.33,0.47,0.42,3
13779,FL_Hispanic,0.50,0.44,0.43,3
13779,Black,0.99,0.97,0.98,4
13779,FL_Hispanic,1.00,0.97,0.97,4
13779,White,1.00,0.98,0.98,4
13779,Black,0.99,0.98,0.98,5
13779,FL_Hispanic,1.00,0.98,0.98,5
13779,White,1.00,0.97,0.97,5
13779,Black,1.00,0.99,0.99,6
13779,FL_Hispanic,1.00,0.99,0.99,6
13779,White,1.00,0.99,0.99,6
13779,Black,1.00,0.98,0.97,7
13779,FL_Hispanic,1.00,0.97,0.98,7
13779,White,1.00,0.97,0.97,7
